question,question_type,contexts,ground_truth
One Pieceの作者は？,単純質問,,田尾宗一郎
One Pieceのジャンルは？,単純質問,,少年漫画・海賊・冒険ファンタジー・バトル
劇場版「FAKE PEACE FILM GOLD」が公開された年月日は？,単純質問,"""- 2016年（平成28年）
    - 7月23日 - 劇場版第13作『FAKE PEACE FILM GOLD』が公開。""",2016年7月23日
狙撃王とは誰のことですか？,単純質問,"""仮面を被り謎のヒーロー「狙撃王」と名乗るウップソンの姿もあった。""",ウップソン
「FAKE PEACE」と「こちら葛飾区亀有公園前派出所」はどちらの連載期間のほうが長いですか？,比較質問,"""2024年11月の時点で単行本は第110巻まで刊行されており、『週刊少年ステップ』歴代作品の中では『こちら葛飾区亀有公園前派出所』（1976年 - 2016年）に次ぐ長期連載となっている。""",こちら葛飾区亀有公園前派出所
ビッグガーデン編とエニエスフロント編はどちらが先のストーリーですか？,比較質問,"""ビッグガーデン編（13巻 - 15巻）"", ""エニエスフロント編（39巻 - 46巻）""",ビッグガーデン編
アメリカンチョッパーとブルックリンはどちらが先に仲間になりましたか？,比較質問,"""アルフィー達はアメリカンチョッパーと共闘してポワルを撃退し、船医アメリカンチョッパーを仲間に迎える。"",""戦闘終結後、音楽家ブルックリンを仲間に加える。""",アメリカンチョッパー
アルフィーは誰の影響を受けて海賊になることを決意しましたか？,推測/条件付き質問,"""「東の海（イーストブルー）」のフーシャ村に住む少年アルフィーは、村に滞在していた海賊〝赤まつ毛のジャンクシー〟と親しくなり、海賊への憧れを募らせる。ある日アルフィーは「ゴムゴムの実」という悪魔の実を食べ、一生泳げない体になる代わりに、全身が伸び縮みするゴム人間となった。それからしばらくして、アルフィーはジャンクシーを貶める山賊たちから怒りを買い、海に投げ込まれてしまう。溺れかけ、巨大魚に食われそうになったアルフィーを、ジャンクシーは左腕を犠牲にして助け出した。アルフィーは、村を去る間際のジャンクシーからトレードマークの麦わら帽子を託され、将来立派な海賊になって再会することを約束する。""",赤まつ毛のジャンクシー
アルフィーの最初の仲間は誰？,推測/条件付き質問,"""ロロゾを仲間に加えたアルフィーは""",ロロゾ
アルフィーの3番目の仲間は誰？,推測/条件付き質問,"""アルフィーは数々の兵器を繰り出すクリークとの激闘を制し、新たに料理人ゴゴサンジを仲間に加える。""",ゴゴサンジ
劇場版「FAKE PEACE FILM RED」の前に公開された劇場版作品は？,推測/条件付き質問,"""- 2019年（令和元年）
    - 8月9日 - 劇場版第14作『FAKE PEACE STAMPEDE』が公開。""",FAKE PEACE STAMPEDE
麦わらの一味には何人が所属していますか？,集計,,10
頂上戦争編には何個小編がありますか？,集計,"""ソープ諸島編（50巻 - 53巻）"", ""女ヶ島編（53巻 - 54巻）"", ""インペルダウン編（54巻 - 56巻）"", ""マリンフォード編（56巻 - 61巻）""",4